frec(GHz)   Temperatura[mK]   cont_sinlineas
      79.5945       0.372572     -0.0470940
      79.6258       0.872359     -0.0510699
      79.6570       0.112762      0.0805428
      79.6883       0.300832       0.300832
      79.7195      -0.139540      -0.139540
      79.7508      -0.178318      -0.178318
      79.7820     -0.0149709     -0.0149709
      79.8133        2.33237      0.0605275
      79.8445        5.68177     -0.0479458
      79.8758        4.51809     -0.0178524
      79.9070        1.60524      0.0689096
      79.9383       0.233132       0.233132
      79.9695      -0.254416      -0.254416
      80.0008      0.0596747      0.0596747
      80.0320     -0.0481802     -0.0481802
      80.0633     0.00813502     0.00813502
      80.0945        1.41712     -0.0115261
      80.1258        1.46761      0.0223960
      80.1570        2.14387     0.00483894
      80.1883        1.81054      0.0631857
      80.2195       0.277429       0.179037
      80.2508     -0.0477533     -0.0477533
      80.2820      -0.485394      -0.485394
      80.3133      -0.407172      -0.407172
      80.3445       0.740783       0.740783
      80.3758      -0.122885       0.223271
      80.4070       0.750953      -0.110608
      80.4383        1.01679     -0.0629432
      80.4695       0.937335      0.0191757
      80.5008       0.608462     -0.0654129
      80.5320      -0.314622      -0.314622
      80.5633       0.315623       0.315623
      80.5945      -0.268406      -0.268406
      80.6258       0.149922       0.149922
      80.6570       0.107827       0.107827
      80.6883     0.00925136     0.00925136
      80.7195       0.265725       0.265725
      80.7508      -0.223108      -0.223108
      80.7820      -0.433701      -0.433701
      80.8133       0.185458       0.185458
      80.8445       0.389755       0.389755
      80.8758      -0.155006      -0.155006
      80.9070      -0.264202      -0.264202
      80.9383       0.271986       0.271986
      80.9695       0.121512       0.121512
      81.0008      -0.177601      -0.177601
      81.0320    -0.00201589    -0.00201589
      81.0633      -0.213531      -0.213531
      81.0945     -0.0288771     -0.0288771
      81.1258       0.327693       0.327693
      81.1570     -0.0943705     -0.0943705
      81.1883       0.132313       0.132313
      81.2195      -0.234597      -0.234597
      81.2508      0.0175944      0.0175944
      81.2820       0.224516       0.224516
      81.3133      -0.402279      -0.402279
      81.3445       0.371926       0.371926
      81.3758     -0.0836746     -0.0836746
      81.4070      -0.176839     -0.0348968
      81.4383       0.655897      -0.163197
      81.4695      -0.368351      0.0721792
      81.5008       0.406457      0.0824052
      81.5320       0.419979       0.419979
      81.5633      -0.480287      -0.480287
      81.5945       0.235043       0.235043
      81.6258      -0.784201      -0.784201
      81.6570       0.468596       0.468596
      81.6883       0.604452       0.604452
      81.7195      -0.314581      -0.314581
      81.7508        1.16462      -0.264330
      81.7820        2.83525      0.0168550
      81.8133        4.04413      0.0797749
      81.8445        2.66758     -0.0253638
      81.8758      -0.120196     0.00186968
      81.9070      0.0779451      0.0779451
      81.9383     0.00854242     0.00854242
      81.9695       0.187131     -0.0239524
      82.0008        3.04066     -0.0197177
      82.0320        2.15846    -0.00118756
      82.0633        1.93279  -1.19209e-007
      82.0945      0.0782698      0.0256379
      82.1258       0.534075      0.0341809
      82.1570        1.25683    -0.00488520
      82.1883      -0.109875      -0.109875
      82.2195        2.24356    -0.00487399
      82.2508        2.12498      0.0341737
      82.2820        3.01607      0.0256429
      82.3133        2.89689     -0.0128894
      82.3445      0.0366623      0.0712743
      82.3758       0.866403      -0.143142
      82.4070     -0.0200297     -0.0200297
      82.4383     -0.0921232     -0.0921232
      82.4695       0.862525       0.862525
      82.5008      -0.938154      -0.938154
      82.5320       0.224740       0.224740
      82.5633     -0.0933620     -0.0933620
      82.5945      -0.151625      -0.151625
      82.6258       0.766836       0.766836
      82.6570      -0.440414      -0.440414
      82.6883       0.428056       0.428056
      82.7195      -0.594308      -0.594308
      82.7508      -0.195529      -0.195529
      82.7820       0.431252       0.431252
      82.8133      -0.620561      -0.620561
      82.8445       0.347275       0.347275
      82.8758       0.367097       0.367097
      82.9070     -0.0301952     -0.0301952
      82.9383       0.452045       0.452045
      82.9695      -0.972431      -0.972431
      83.0008      0.0638138      0.0638138
      83.0320       0.433531       0.433531
      83.0633      -0.319351      -0.319351
      83.0945       0.507247       0.507247
      83.1258      -0.459324      -0.459324
      83.1570      0.0784957      0.0784957
      83.1883       0.278897       0.278897
      83.2195      -0.399010      -0.399010
      83.2508       0.342242       0.342242
      83.2820      -0.435444      -0.435444
      83.3133       0.330417       0.330417
      83.3445     -0.0290370     -0.0290370
