frec(GHz)	Temperatura[mK]	cont_sinlineas
105.356	0.216915	0.216915
105.387	-0.219535	-0.219535
105.418	0.0478951	0.0478951
105.449	0.297747	0.297747
105.481	-0.0205663	-0.0205663
105.512	-0.305063	-0.305063
105.543	0.104809	0.104809
105.574	-0.0279294	-0.0279294
105.606	0.0804733	0.0804733
105.637	-0.106503	-0.106503
105.668	0.227523	0.227523
105.699	-0.177734	-0.177734
105.731	-0.0437108	-0.0437108
105.762	0.106819	0.106819
105.793	0.196004	0.196004
105.824	-0.513698	-0.513698
105.856	0.320144	0.320144
105.887	-0.0138022	-0.0138022
105.918	0.292547	0.292547
105.949	-0.624347	-0.624347
105.981	0.140898	0.140898
106.012	0.275314	0.275314
106.043	0.256653	0.256653
106.074	-0.569839	-0.569839
106.106	0.108016	0.108016
106.137	0.204488	0.204488
106.168	-0.0957921	-0.0957921
106.199	-0.165972	-0.165972
106.231	0.169311	0.169311
106.262	0.0529684	0.0529684
106.293	-0.41441	-0.0303839
106.324	0.26894	-0.0397572
106.356	0.149701	0.04451
106.387	-0.0734156	0.00624597
106.418	-0.0477256	-0.0477256
106.449	-0.167235	-0.167235
106.481	0.257869	0.257869
106.512	-0.0338921	-0.0338921
106.543	-0.0619994	-0.0619994
106.574	-0.122242	-0.122242
106.606	0.228424	0.228424
106.637	-0.116573	-0.116573
106.668	0.019384	0.019384
106.699	0.250647	-0.00148296
106.731	1.16699	0.0662672
106.762	0.264097	0.0132086
106.793	-0.383746	-0.0488832
106.824	-0.345432	-0.345432
106.856	0.143847	0.143847
106.887	0.235008	0.235008
106.918	0.509167	0.509167
106.949	-0.788375	-0.788375
106.981	0.264441	0.264441
107.012	-0.0906984	-0.0906984
107.043	-0.0809525	-0.0809525
107.074	0.00801969	0.00801969
107.106	0.21988	0.21988
107.137	0.018599	0.018599
107.168	-0.0997959	-0.0997959
107.199	-0.17256	-0.17256
107.231	0.154489	0.154489
107.262	-0.11817	-0.11817
107.293	0.27063	0.27063
107.324	-0.105613	-0.105613
107.356	0.0722188	0.0722188
107.387	-0.213812	-0.213812
107.418	-0.0106035	-0.0106035
107.449	-0.0961813	-0.0961813
107.481	0.249981	0.249981
107.512	0.055965	0.055965
107.543	0.0947177	0.0947177
107.574	-0.292958	-0.292958
107.606	0.117258	0.117258
107.637	-0.276904	-0.276904
107.668	0.313628	0.313628
107.699	0.197876	0.197876
107.731	-0.313104	-0.313104
107.762	-0.222357	-0.222357
107.793	0.424919	0.424919
107.824	-0.332041	-0.332041
107.856	0.252274	0.252274
107.887	0.0546504	0.0546504
107.918	-0.0214318	-0.0214318
107.949	-0.18607	-0.18607
107.981	0.144983	0.144983
108.012	0.00429368	0.00429368
108.043	-0.32505	-0.32505
108.074	0.123217	0.123217
108.106	0.130111	0.130111
108.137	0.351704	0.351704
108.168	-0.485799	-0.485799
108.199	-0.0645155	-0.0645155
108.231	0.166338	0.166338
108.262	0.341285	0.341285
108.293	-0.363069	-0.363069
108.324	0.166497	0.166497
108.356	-0.142545	-0.142545
108.387	0.0368323	0.0368323
108.418	-0.0815655	-0.0815655
108.449	0.00121129	0.00121129
108.481	0.123809	0.123809
108.512	-0.0636834	-0.0636834
108.543	-0.0382043	-0.0382043
108.574	0.0652444	0.0652444
108.606	-0.22713	0.0258796
108.637	1.02862	0.0396136
108.668	0.371478	-0.0304006
108.699	-0.444898	-0.0937929
108.731	-0.18248	-0.18248
108.762	0.379493	0.379493
108.793	-0.0811842	-0.0811842
108.824	-1.13529	-0.072327
108.856	0.0665562	-0.0375286
108.887	2.71458	-0.034574
108.918	0.43609	-0.0190673
108.949	0.222813	0.129604
108.981	0.300486	0.300486
109.012	-0.363023	-0.363023
109.043	-0.135638	-0.135638
109.074	0.106252	0.106252
109.106	-0.0441176	0.092512
109.137	1.18164	-0.0177941
109.168	3.59962	-0.0171184
109.199	0.312679	0.00757939
109.231	0.420567	-0.0173748
109.262	0.649163	-0.0244753
109.293	-0.00910395	-0.00910395
109.324	0.113732	0.113732
109.356	-0.0429773	-0.0429773
109.387	-0.204355	-0.0316491
109.418	-0.568088	-0.0274608
109.449	1.40041	-0.0105658
109.481	0.685385	0.00344765
109.512	0.105343	0.105343
109.543	-0.0378878	0.0346953
109.574	0.961457	-0.0369886
109.606	-0.0734413	-0.135576
109.637	0.994267	0.0189463
109.668	-0.508304	0.0379519
109.699	1.3581	0.0201246
109.731	1.04568	-0.00564969
109.762	18.5875	-2.6226e-06
109.793	18.0334	2.14577e-06
109.824	-0.475996	-2.38419e-07
109.856	3.79354	-2.6226e-06
109.887	8.40471	1.43051e-06
109.918	7.67596	0.268997
109.949	-2.11212	-0.212981
109.981	2.28276	-0.500703
110.012	-0.627004	-0.627004
110.043	2.33909	2.33909
110.074	-0.872681	-0.872681
110.106	2.67745	-0.552761
110.137	0.206389	-0.154683
110.168	37.5061	0.312724
110.199	101.238	1.12057e-05
110.231	13.9056	-1.14441e-05
110.262	-1.09021	-4.29153e-06
110.293	1.89095	-2.02656e-06
110.324	0.374372	1.90735e-06
110.356	2.98248	-0.0186002
110.387	3.11108	0.0433449
110.418	1.64006	-0.00203609
110.449	-0.168287	-0.168287
110.481	-0.204341	-0.204341
110.512	0.560923	0.560923
110.543	0.444059	0.444059
110.574	-0.730218	-0.730218
110.606	0.191919	0.191919
110.637	-0.286664	-0.286664
110.668	-0.295372	-0.295372
110.699	0.296436	0.296436
110.731	0.278311	0.278311
110.762	0.248268	0.248268
110.793	-0.474738	-0.474738
110.824	-0.0612158	-0.0612158
110.856	0.152492	0.152492
110.887	0.320007	0.320007
110.918	0.0860286	0.0860286
110.949	0.0883477	0.0883477
110.981	-1.66968	-1.66968
111.012	0.963431	0.963431
111.043	0.470537	0.470537
111.074	0.0461575	0.0461575
111.106	-0.279106	-0.279106
111.137	0.0	0.0
111.168	0.0	0.0
111.199	0.0	0.0
111.231	0.0	0.0
111.262	0.0	0.0
111.293	0.0	0.0
111.324	0.0	0.0
111.356	0.0	0.0
111.387	0.0	0.0
111.418	0.0	0.0
111.449	0.0	0.0
111.481	0.0	0.0
111.512	0.0	0.0
111.543	0.0	0.0
111.574	0.0	0.0
111.606	0.0	0.0
111.637	0.0	0.0
111.669	0.0	0.0
111.7	0.0	0.0
111.732	0.0	0.0
111.763	0.0	0.0
111.794	0.0	0.0
111.825	0.0	0.0
111.857	0.0	0.0
111.888	0.0	0.0
111.919	0.0	0.0
111.95	0.0	0.0
111.982	0.0	0.0
112.013	0.0	0.0
112.044	0.0	0.0
112.075	0.0	0.0
112.107	0.0	0.0
112.138	0.0	0.0
112.169	0.0	0.0
112.2	0.0	0.0
112.232	0.0	0.0
